loss,actor_loss,critic_loss,mean_entropy,mean_reward,mean_value,mean_returns,mean_advantage,gradient_norm
0.0015,-0.0221,0.1445,4.8672,0.1965,0.4010,0.5064,-0.0002,0.5048
-0.1501,-0.1433,0.0823,4.7859,0.2474,0.7378,0.7403,0.1112,0.1783
0.0006,-0.0036,0.1043,4.7968,0.2166,0.6081,0.5462,-0.0771,0.4371
-0.0825,-0.0752,0.0808,4.7680,0.1670,0.6471,0.6605,0.0422,0.3094
-0.0192,-0.0139,0.0837,4.7258,0.2151,0.7186,0.6954,-0.0461,0.5196
-0.1598,-0.1631,0.0968,4.5133,0.2361,0.6598,0.7469,0.1091,0.7737
0.0587,0.0613,0.0788,4.2051,0.3419,1.0712,0.9764,-0.1207,1.0992
-0.0121,-0.0035,0.0681,4.2644,0.2091,0.7771,0.7707,-0.0683,0.4040
-0.1350,-0.1212,0.0569,4.2258,0.2574,0.9086,0.9683,0.0696,1.0144
-0.0584,-0.0562,0.0808,4.2554,0.1656,0.8657,0.7816,-0.0046,0.9983
-0.1387,-0.1194,0.0394,3.8929,0.2662,0.9564,0.9674,0.0618,1.2518
-0.1048,-0.1090,0.0842,3.7912,0.2216,0.8224,0.8625,0.0440,0.5789
0.0266,0.0293,0.0745,4.0007,0.2244,0.9178,0.8279,-0.0787,1.0411
-0.0458,-0.0446,0.0740,3.8262,0.2585,0.8590,0.8525,-0.0322,0.8364
-0.0712,-0.0497,0.0343,3.8663,0.2378,0.8542,0.8736,-0.0207,0.7635
-0.2774,-0.2565,0.0354,3.8618,0.2603,0.8078,0.8781,0.1823,1.2673
-0.0865,-0.0655,0.0344,3.8188,0.3067,0.8717,0.9640,0.0020,1.4427
-0.0233,-0.0314,0.0931,3.8427,0.2524,0.9501,0.9948,-0.0508,1.0054
-0.0531,-0.0543,0.0768,3.7220,0.2514,0.9018,0.8937,-0.0082,0.9650
-0.0207,-0.0196,0.0702,3.6192,0.2347,0.9541,0.8919,-0.0390,1.1702
-0.1254,-0.1132,0.0472,3.5805,0.2181,0.9296,0.8682,0.0219,0.8491
-0.1515,-0.1473,0.0603,3.4272,0.2299,0.8256,0.8858,0.0954,1.3567
-0.0348,-0.0413,0.0743,3.0601,0.3062,0.9094,0.9412,-0.0520,0.8944
-0.0589,-0.0524,0.0489,3.0934,0.2761,0.9842,0.9680,-0.0162,0.5470
-0.0888,-0.1042,0.0895,2.9397,0.2761,0.9760,0.9927,0.0146,0.4701
-0.0880,-0.0878,0.0587,2.9560,0.2841,1.0179,1.0696,0.0247,1.1636
-0.1024,-0.1173,0.0819,2.6031,0.2887,0.8721,0.9397,0.0538,1.5499
-0.1917,-0.1761,0.0253,2.8188,0.2476,0.9730,1.0121,0.1074,1.5698
-0.1419,-0.1306,0.0342,2.8381,0.2961,0.9530,0.9915,0.0581,1.0290
-0.1506,-0.1498,0.0550,2.8279,0.2252,0.9901,1.0212,0.0784,1.3353
-0.0574,-0.0451,0.0283,2.6450,0.2722,1.0566,0.9835,-0.0395,1.1411
-0.0556,-0.0345,0.0107,2.6522,0.3127,1.2286,1.2213,-0.0361,1.1793
-0.1336,-0.1250,0.0386,2.7902,0.3095,1.1068,1.0407,0.0468,1.7786
-0.0968,-0.1021,0.0643,2.6921,0.2309,0.9823,1.0516,0.0222,1.0385
-0.1903,-0.1780,0.0246,2.4586,0.3015,1.0189,1.0897,0.0846,1.3260
-0.0653,-0.0723,0.0677,2.6882,0.2638,0.9569,0.9567,-0.0059,1.1185
-0.0771,-0.0839,0.0650,2.5649,0.2546,0.9918,1.0101,0.0125,0.9211
-0.1381,-0.1314,0.0282,2.0821,0.3626,1.2754,1.2541,0.0813,0.8118
-0.0521,-0.0421,0.0208,2.0340,0.3290,1.2218,1.1719,-0.0393,1.4911
-0.1491,-0.1501,0.0553,2.6636,0.2221,0.8739,0.8996,0.0738,1.1720
-0.1633,-0.1711,0.0584,2.1367,0.3040,0.9624,1.0158,0.1037,0.9310
-0.1072,-0.1067,0.0430,2.2035,0.3387,1.0927,1.1628,0.0406,1.8620
-0.0975,-0.0892,0.0275,2.2092,0.2446,0.9586,1.0018,-0.0028,1.7757
-0.0489,-0.0407,0.0274,2.1947,0.2992,1.0621,1.0777,-0.0095,0.8966
-0.0414,-0.0429,0.0436,2.0385,0.3623,1.2237,1.1334,-0.0164,1.0680
0.0041,-0.0108,0.0719,2.1020,0.3391,1.1625,1.1634,-0.0546,1.1951
-0.0689,-0.0754,0.0600,2.3540,0.2720,0.9195,0.9315,0.0116,1.4246
-0.1478,-0.1356,0.0244,2.4376,0.2846,1.0473,1.0589,0.0545,1.2976
-0.1323,-0.1363,0.0534,2.2745,0.2849,1.0200,1.0379,0.0760,0.7604
-0.0344,-0.0393,0.0564,2.3307,0.3117,1.1710,1.0829,-0.0297,1.4354
-0.0441,-0.0466,0.0462,2.0672,0.2699,1.0689,1.0481,-0.0128,1.0592
0.0559,0.0615,0.0389,2.5011,0.2595,1.0756,0.9877,-0.1110,1.2869
-0.0026,0.0026,0.0350,2.2724,0.3076,1.0553,1.0145,-0.0918,1.1293
0.0223,0.0023,0.0918,2.5853,0.2126,0.9738,1.0092,-0.0837,2.0517
0.0134,0.0096,0.0577,2.5054,0.2267,0.9400,0.9600,-0.0753,1.9432
-0.1129,-0.1352,0.0937,2.4578,0.2174,0.9938,0.9559,0.0607,0.9642
-0.0871,-0.0772,0.0293,2.4624,0.2491,0.9346,0.9599,-0.0310,0.9774
-0.0243,-0.0186,0.0363,2.3816,0.2589,1.0454,1.0714,-0.0234,1.4274
-0.1394,-0.1502,0.0676,2.3040,0.2663,0.9132,1.0025,0.0942,2.0595
-0.1282,-0.1151,0.0210,2.3613,0.2721,1.0724,1.1219,0.0305,1.4346
-0.0728,-0.0892,0.0773,2.2264,0.2631,0.9628,0.9887,0.0356,1.4694
-0.0634,-0.0460,0.0130,2.3955,0.2711,1.0750,1.1091,-0.0373,2.2116
-0.0361,-0.0461,0.0674,2.3748,0.2434,1.1641,1.1168,0.0001,1.1394
-0.1052,-0.1059,0.0427,2.0666,0.2966,1.1449,1.1628,0.0355,1.3512
-0.1276,-0.1181,0.0308,2.4915,0.2609,0.9670,0.9430,0.0391,0.6551
-0.0411,-0.0241,0.0155,2.4757,0.2634,1.0457,1.0218,-0.0767,0.6487
-0.1796,-0.1676,0.0238,2.3950,0.2772,1.0465,1.0919,0.0837,0.6374
-0.0413,-0.0363,0.0376,2.3753,0.2927,1.0045,0.9889,-0.0534,1.9187
-0.1005,-0.0895,0.0295,2.5741,0.1998,0.9004,0.9214,0.0078,0.6180
-0.1377,-0.1249,0.0255,2.5566,0.2920,0.9344,0.9306,0.0120,0.5320
-0.0633,-0.0493,0.0304,2.9205,0.2301,0.9051,0.8663,-0.0134,0.5663
-0.1335,-0.1207,0.0224,2.4068,0.2881,1.1559,1.1679,0.0480,1.0960
-0.0444,-0.0424,0.0428,2.3356,0.2572,0.9987,1.0257,-0.0536,1.1672
-0.0940,-0.0990,0.0531,2.1584,0.2479,1.1875,1.1194,0.0323,1.8667
-0.1427,-0.1486,0.0552,2.1699,0.2979,1.0486,1.1136,0.0553,1.0834
-0.1836,-0.1786,0.0363,2.3157,0.3168,1.0366,1.1252,0.0870,1.7009
-0.0547,-0.0490,0.0402,2.5846,0.2228,0.9500,0.9380,-0.0603,1.3112
-0.1251,-0.1230,0.0362,2.0273,0.3237,1.1123,1.1115,0.0557,1.7060
-0.0759,-0.0784,0.0496,2.2352,0.2392,0.9218,0.9588,-0.0017,1.9170
-0.0002,-0.0079,0.0649,2.4828,0.2221,1.0114,0.9271,-0.0605,1.4779
-0.0761,-0.0721,0.0345,2.1190,0.2658,0.9543,0.9595,-0.0210,1.1141
-0.1095,-0.1031,0.0185,1.5635,0.3820,1.2066,1.2116,0.0616,2.9433
-0.1271,-0.1195,0.0275,2.1410,0.3659,1.0682,1.0779,0.0448,0.8708
-0.0536,-0.0451,0.0255,2.1259,0.2870,1.1697,1.1938,-0.0216,1.3539
0.0013,0.0085,0.0286,2.1501,0.3176,1.1116,1.0809,-0.1040,0.9971
-0.2085,-0.2128,0.0528,2.2081,0.2756,0.9455,1.0160,0.1347,0.7959
0.0228,0.0285,0.0365,2.3980,0.2479,0.9731,0.9638,-0.1123,1.6230
-0.1270,-0.1218,0.0354,2.2962,0.2528,1.0982,1.0592,0.0466,1.1164
-0.1353,-0.1454,0.0605,2.0150,0.2855,1.0604,1.1269,0.0802,1.3271
-0.0040,-0.0147,0.0563,1.7459,0.3519,1.1600,1.1863,-0.0640,0.8626
-0.1123,-0.1157,0.0535,2.3327,0.1966,0.9474,0.9322,0.0456,1.8606
0.0837,0.0608,0.0789,1.6472,0.3040,1.2176,1.1601,-0.1414,0.6936
-0.1026,-0.1039,0.0470,2.2122,0.2528,0.9297,0.9632,0.0338,1.7502
-0.1831,-0.1776,0.0261,1.8522,0.2684,1.0406,1.0705,0.1194,1.7468
-0.1137,-0.1042,0.0234,2.1291,0.2506,0.9516,0.9812,0.0075,0.8983
-0.1155,-0.1224,0.0537,1.9952,0.2396,0.9941,0.9956,0.0344,0.5899
-0.0611,-0.0843,0.0900,2.1837,0.2553,0.8725,0.8554,-0.0030,1.1399
-0.1373,-0.1449,0.0549,1.9875,0.2596,0.9808,1.0095,0.1345,4.3869
-0.0771,-0.0910,0.0634,1.7802,0.2402,1.0335,1.0276,0.0197,1.2327
0.0355,0.0308,0.0404,1.5526,0.3086,1.1265,1.1599,-0.1019,1.4325
-0.1390,-0.1275,0.0166,1.9772,0.2375,0.9518,0.9636,0.0317,1.4208
-0.0728,-0.0804,0.0525,1.8665,0.2969,1.0666,1.0619,0.0258,2.6537
-0.1724,-0.1562,0.0098,2.1075,0.2722,1.0528,1.0478,0.0664,1.7624
0.0619,0.0332,0.0961,1.9290,0.2296,1.0382,0.9955,-0.1262,0.5338
-0.0327,-0.0562,0.0804,1.6681,0.2594,1.1254,1.1703,-0.0236,0.8420
0.0567,0.0661,0.0174,1.8116,0.2831,1.1470,1.1576,-0.1489,1.5378
-0.1300,-0.1284,0.0339,1.8481,0.3174,1.1908,1.2167,0.0743,0.9504
0.0041,-0.0054,0.0545,1.7744,0.3056,1.1438,1.1558,-0.0655,1.3146
-0.0407,-0.0367,0.0264,1.7150,0.2493,1.1363,1.1541,-0.0416,1.3577
-0.0677,-0.0974,0.1025,2.1578,0.2217,0.8617,0.9328,0.0043,1.1918
-0.1183,-0.1149,0.0312,1.9044,0.2614,1.1406,1.1582,0.0546,1.6336
-0.1803,-0.1722,0.0166,1.6360,0.2695,1.2240,1.2306,0.1259,0.8288
-0.0660,-0.0637,0.0293,1.6882,0.3042,1.2774,1.2380,-0.0059,0.8904
0.0115,0.0248,0.0139,2.0257,0.3048,1.2552,1.1792,-0.0985,0.9626
-0.0515,-0.0852,0.1063,1.9473,0.3488,1.1164,1.1422,0.0274,1.8016
-0.1602,-0.1477,0.0100,1.7594,0.3210,1.2521,1.2484,0.0629,1.3566
0.0224,0.0053,0.0713,1.8517,0.2813,1.1392,1.1011,-0.0843,0.6403
-0.0449,-0.0460,0.0402,1.8959,0.2383,1.0714,1.1009,-0.0020,2.0454
0.0202,-0.0177,0.1131,1.8594,0.2894,1.1075,1.0744,-0.0626,0.8206
-0.0828,-0.0770,0.0260,1.8728,0.2969,1.1365,1.1725,0.0171,0.6441
-0.0303,-0.0588,0.0909,1.6952,0.2901,1.0289,1.0824,-0.0096,1.1389
-0.0597,-0.0661,0.0461,1.6671,0.3192,1.1687,1.1787,-0.0162,1.0248
-0.0500,-0.0599,0.0525,1.6394,0.2795,1.0632,1.0952,0.0069,1.2982
-0.1159,-0.1244,0.0516,1.7281,0.2705,1.0664,1.1115,0.0287,1.5347
-0.0828,-0.0745,0.0163,1.6424,0.3309,1.2155,1.2172,0.0304,0.5901
0.0037,-0.0359,0.1124,1.6630,0.3117,1.1767,1.1652,-0.0303,0.7377
0.0390,0.0129,0.0884,1.8029,0.2833,1.1752,1.1102,-0.1019,2.1187
-0.0105,-0.0475,0.1083,1.7105,0.2912,1.0977,1.0666,-0.0409,0.6498
-0.0274,-0.0777,0.1293,1.4339,0.2970,1.0414,1.1183,0.0329,1.6895
-0.1815,-0.1791,0.0256,1.5255,0.2889,1.2121,1.1491,0.1401,2.2154
-0.0002,-0.0725,0.1730,1.4250,0.2562,1.0837,1.0724,0.0042,1.5093
0.0128,-0.0223,0.0970,1.3435,0.2853,1.1994,1.1303,-0.0365,1.4505
-0.0428,-0.0723,0.0864,1.3638,0.3254,1.1603,1.1378,0.0290,1.3435
0.0831,0.0427,0.1111,1.5138,0.2968,1.2045,1.1539,-0.0791,2.5450
-0.0326,-0.0729,0.1072,1.3343,0.3491,1.1299,1.1636,0.0192,1.1608
-0.0373,-0.0601,0.0747,1.4627,0.3226,1.2827,1.3129,-0.0082,0.7264
0.0091,-0.0185,0.0892,1.6970,0.2807,1.1748,1.1396,-0.0162,1.6644
0.0396,-0.0181,0.1456,1.5047,0.2243,0.9542,1.0010,-0.0485,1.0310
-0.0379,-0.0597,0.0732,1.4787,0.2656,0.9825,1.0249,-0.0116,1.8230
0.0053,-0.0537,0.1484,1.5170,0.2705,1.1460,1.0959,-0.0191,1.0024
-0.0735,-0.0875,0.0586,1.5271,0.2518,1.1725,1.1636,-0.0026,0.6276
-0.0436,-0.0487,0.0350,1.2430,0.2943,1.0904,1.1256,0.0011,1.4338
-0.0596,-0.0482,0.0073,1.4995,0.2925,1.2489,1.2190,-0.0494,0.8270
-0.0591,-0.0571,0.0258,1.4957,0.3302,1.2548,1.2371,0.0206,1.2341
-0.0122,-0.0356,0.0787,1.5921,0.2955,1.1748,1.2095,-0.0297,0.7070
-0.0534,-0.0529,0.0287,1.4914,0.2494,1.2225,1.1566,-0.0226,0.9042
0.0110,0.0002,0.0495,1.3917,0.3237,1.2800,1.2456,-0.0513,0.7339
-0.1321,-0.1279,0.0214,1.4942,0.2816,1.2006,1.2427,0.0856,0.6078
-0.0506,-0.0462,0.0201,1.4469,0.2903,1.2279,1.2302,0.0205,1.0497
-0.1231,-0.1154,0.0072,1.1324,0.3430,1.2777,1.3206,0.1174,1.2861
-0.0179,-0.0408,0.0662,1.0169,0.2805,1.3339,1.2615,-0.0072,0.9027
-0.0351,-0.0626,0.0807,1.2784,0.2218,1.0531,1.0630,0.0055,1.3789
-0.0568,-0.0922,0.0924,1.0760,0.2994,1.1075,1.1234,0.0421,1.9065
-0.0102,-0.0221,0.0501,1.3158,0.2387,1.0220,1.0141,-0.0578,0.5604
-0.1023,-0.1087,0.0320,0.9605,0.3224,1.2156,1.2831,0.0667,0.8897
0.0229,0.0014,0.0609,0.8923,0.3191,1.1209,1.1242,-0.0656,2.0252
-0.1059,-0.1028,0.0109,0.8617,0.3140,1.2843,1.2870,0.0297,0.9386
0.0053,-0.0240,0.0781,0.9763,0.2696,1.2357,1.1582,-0.0189,0.9574
-0.0383,-0.0478,0.0407,1.0865,0.2948,1.2255,1.2197,-0.0008,2.0375
0.1206,0.0899,0.0824,1.0456,0.2502,1.1586,1.1114,-0.1477,0.8379
-0.1147,-0.1119,0.0179,1.1745,0.2513,1.1718,1.1932,0.0490,0.7457
-0.1547,-0.1736,0.0588,1.0458,0.3425,1.1851,1.2251,0.1086,1.3733
-0.0421,-0.0719,0.0855,1.2953,0.2431,1.0756,1.0346,0.0009,1.6515
0.0947,0.0880,0.0320,0.9352,0.2894,1.2698,1.2375,-0.1138,3.1224
-0.1451,-0.1386,0.0077,1.0370,0.2587,1.1646,1.1521,0.0568,1.7930
-0.0565,-0.0745,0.0557,0.9885,0.2788,1.1699,1.1749,0.0335,0.7570
0.0564,0.0246,0.0814,0.8873,0.2536,1.2120,1.2063,-0.0713,0.7254
0.0975,0.0476,0.1190,0.9585,0.2506,1.1448,1.0821,-0.0977,3.0323
-0.0034,-0.0345,0.0854,1.1628,0.2340,0.9474,1.0103,-0.0056,1.1559
-0.0350,-0.0947,0.1376,0.9105,0.2666,1.1337,1.1408,0.0365,1.3358
-0.0948,-0.1332,0.0955,0.9266,0.2995,1.1638,1.1741,0.0629,1.1736
-0.0396,-0.0747,0.0889,0.9325,0.2551,1.0823,1.1003,-0.0093,1.1250
0.0532,-0.0095,0.1424,0.8520,0.2842,1.2240,1.1617,-0.0373,1.5185
-0.0593,-0.0773,0.0572,1.0614,0.3127,1.1351,1.1351,0.0019,0.8783
-0.1118,-0.1238,0.0414,0.8706,0.2618,1.1766,1.1840,0.0789,0.8594
0.0154,0.0168,0.0155,0.9250,0.3294,1.2408,1.2373,-0.0587,1.1928
-0.1548,-0.1616,0.0305,0.8463,0.3347,1.2556,1.3245,0.1172,0.8162
-0.1275,-0.1322,0.0283,0.9496,0.3305,1.1954,1.2338,0.0738,1.4498
-0.1012,-0.1235,0.0617,0.8491,0.2798,1.1627,1.2114,0.0727,1.6382
-0.0599,-0.0791,0.0592,1.0397,0.2573,1.1232,1.1277,0.0271,0.5345
-0.1102,-0.1243,0.0523,1.2077,0.1830,0.9847,1.0058,0.0644,2.0983
-0.0404,-0.0462,0.0301,0.9284,0.2854,1.1778,1.1963,-0.0107,1.0676
-0.0232,-0.0179,0.0058,0.8260,0.3768,1.3198,1.3098,-0.0167,0.7162
0.0807,0.0647,0.0524,1.0235,0.2389,1.2133,1.1474,-0.0711,2.4281
-0.0696,-0.0699,0.0184,0.8960,0.2944,1.1661,1.2122,0.0454,1.7260
-0.0215,-0.0420,0.0591,0.8987,0.2574,1.2401,1.2347,-0.0053,1.3208
-0.1146,-0.1249,0.0376,0.8502,0.3052,1.1782,1.2210,0.0904,1.5437
-0.1536,-0.1537,0.0234,1.1614,0.3130,1.1414,1.1602,0.0958,1.3566
-0.0014,-0.0107,0.0355,0.8436,0.3391,1.2461,1.2248,-0.0421,0.9311
-0.0218,-0.0226,0.0196,0.9069,0.3299,1.2368,1.1974,-0.0231,1.2025
-0.0407,-0.0379,0.0136,0.9553,0.3322,1.2134,1.2238,-0.0437,0.8288
0.0557,0.0340,0.0633,0.9867,0.2795,1.1406,1.1266,-0.0511,1.9127
-0.1668,-0.1700,0.0257,0.9631,0.3381,1.1293,1.2006,0.0934,0.9554
-0.0646,-0.0587,0.0078,0.9731,0.3197,1.2996,1.3273,0.0172,1.4572
-0.1419,-0.1350,0.0060,0.9963,0.3017,1.2144,1.2399,0.0817,1.0528
-0.0823,-0.0812,0.0183,1.0227,0.2892,1.1288,1.1419,0.0425,0.9915
-0.1074,-0.1051,0.0170,1.0790,0.2777,1.1579,1.1650,0.0722,1.1092
-0.1052,-0.1225,0.0567,1.1053,0.2346,0.9344,1.0773,0.0621,1.9853
-0.1285,-0.1197,0.0053,1.1467,0.2676,1.2689,1.2588,0.0600,1.4617
-0.0667,-0.0699,0.0282,1.0888,0.3706,1.3938,1.3936,0.0242,0.9257
-0.1006,-0.1045,0.0331,1.2676,0.2709,1.1700,1.2359,0.0514,1.1355
-0.1556,-0.1704,0.0522,1.1309,0.2974,1.1617,1.1442,0.1228,1.1012
-0.1496,-0.1448,0.0147,1.2153,0.3081,1.3335,1.2490,0.0635,1.1287
-0.0254,-0.0322,0.0348,1.0649,0.2669,1.1355,1.0918,-0.0237,1.8513
-0.2222,-0.2259,0.0314,1.2066,0.3121,1.1162,1.1614,0.1486,1.7296
0.0313,0.0182,0.0494,1.1624,0.2776,1.1899,1.2241,-0.0740,1.1655
0.0111,-0.0125,0.0709,1.1877,0.2441,1.1384,1.1114,-0.0638,1.4673
-0.0307,-0.0279,0.0154,1.0528,0.2761,1.1936,1.1723,-0.0529,1.4687
0.0150,0.0104,0.0307,1.0735,0.4190,1.3954,1.3302,-0.0500,0.8865
-0.0688,-0.0856,0.0560,1.1126,0.2831,1.0962,1.1257,0.0131,0.5569
-0.0652,-0.0694,0.0317,1.1657,0.3167,1.2056,1.1728,0.0035,1.1739
-0.0902,-0.0902,0.0225,1.1200,0.3151,1.2465,1.2775,0.0041,0.6471
0.0631,0.0650,0.0194,1.1643,0.2670,1.2397,1.1559,-0.1431,1.0185
-0.0325,-0.0298,0.0163,1.0785,0.2965,1.2510,1.2474,-0.0242,0.9888
0.0110,0.0064,0.0303,1.0474,0.3037,1.2133,1.2089,-0.0628,1.2445
-0.0066,-0.0079,0.0240,1.0701,0.2989,1.1894,1.2105,-0.0688,0.8676
-0.0718,-0.0813,0.0383,0.9628,0.2766,1.1385,1.1375,0.0343,0.9322
-0.1026,-0.1067,0.0275,0.9576,0.2399,1.2108,1.2173,0.0412,1.1381
0.0642,0.0324,0.0838,1.0160,0.2862,1.2256,1.1757,-0.0780,1.0847
0.0359,0.0357,0.0182,0.8833,0.3187,1.3120,1.3017,-0.0667,2.2589
